Time,Ist,ARIMA,SARIMA,SARIMAX
2021-12-26 16:00:00,24014.5,25490.50750777338,27689.65951824403,27288.967197042628
2021-12-26 17:00:00,26574.583333333332,25490.507509824372,29895.957953992685,29499.384833704702
2021-12-26 18:00:00,27043.916666666668,25490.507508430055,30040.530188228495,29592.688918713568
2021-12-26 19:00:00,26812.416666666668,25490.50750429687,29614.21593310528,29124.593668667258
2021-12-26 20:00:00,26314.916666666668,25490.50749828879,29022.841192290074,28507.947112981958
2021-12-26 21:00:00,25611.833333333332,25490.507491315024,28075.88381067711,27545.165241857478
2021-12-26 22:00:00,24266.5,25490.50748423168,26449.386489513563,25911.26163593488
2021-12-26 23:00:00,22716.333333333332,25490.50747776492,24719.826055686885,24166.75588353503
2021-12-27 00:00:00,21527.833333333332,25490.50747245975,23507.86455151678,22935.50240525313
2021-12-27 01:00:00,20830.5,25490.50746865535,22670.269953750514,22070.72804114889
2021-12-27 02:00:00,20450.25,25490.507466485044,22172.565526075414,21541.53801146798
2021-12-27 03:00:00,20330.333333333332,25490.50746589685,22019.06158969336,21373.26691854791
2021-12-27 04:00:00,20729.083333333332,25490.50746668918,22437.605906619458,21787.581985311885
2021-12-27 05:00:00,21827.0,25490.507468555614,23691.08587608241,23052.046898882156
2021-12-27 06:00:00,23485.333333333332,25490.507471132776,25811.098436701675,25210.33800838149
2021-12-27 07:00:00,24690.166666666668,25490.507474046055,27159.593212838005,26648.54196663281
2021-12-27 08:00:00,25028.75,25490.50747694889,26898.903717431334,26533.783572735596
2021-12-27 09:00:00,24602.666666666668,25490.507479552798,26118.389953721155,25818.407695745485
2021-12-27 10:00:00,24066.0,25490.507481646666,25229.83254941899,24919.89332572953
2021-12-27 11:00:00,23903.5,25490.507483105113,24545.060124191805,24222.81836952424
2021-12-27 12:00:00,24137.333333333332,25490.50748388692,24241.90353240502,23854.75215660855
2021-12-27 13:00:00,24355.5,25490.50748402529,24390.87938467687,24020.364097770078
2021-12-27 14:00:00,24976.666666666668,25490.50748361229,24942.08936226574,24627.541312551337
2021-12-27 15:00:00,25828.833333333332,25490.50748277996,25983.069081275906,25586.92292785389
2021-12-27 16:00:00,27210.916666666668,25490.50748168052,27708.0536110567,27135.191979405965
2021-12-27 17:00:00,29170.083333333332,25490.507480467848,29914.35204680536,29305.70238192339
2021-12-27 18:00:00,29276.25,25490.507479281805,30058.924281041167,29430.028664940117
2021-12-27 19:00:00,28812.0,25490.50747823658,29632.61002591795,28981.722607068103
2021-12-27 20:00:00,28085.916666666668,25490.507477413492,29041.235285102743,28385.718654624234
2021-12-27 21:00:00,27076.75,25490.507476858264,28094.277903489783,27429.846754089784
2021-12-27 22:00:00,25465.583333333332,25490.507476582312,26467.78058232624,25812.810773798043
2021-12-27 23:00:00,23734.333333333332,25490.50747656726,24738.22014849956,24096.05024345419
2021-12-28 00:00:00,22509.25,25490.50747677168,23526.258644329457,22879.61741444443
2021-12-28 01:00:00,21642.5,25490.507477139006,22688.664046563183,22047.620867502297
2021-12-28 02:00:00,21076.583333333332,25490.507477605708,22190.959618888086,21559.641825633393
2021-12-28 03:00:00,21017.5,25490.50747810877,22037.455682506028,21439.887976237536
2021-12-28 04:00:00,21449.25,25490.50747859192,22455.999999432126,21869.48902941007
2021-12-28 05:00:00,22488.333333333332,25490.507479010135,23709.47996889508,23154.242314108385
2021-12-28 06:00:00,24222.416666666668,25490.50747933229,25829.492529514348,25292.857724883284
2021-12-28 07:00:00,25385.5,25490.50747954199,27177.987305650677,26705.04685551714
2021-12-28 08:00:00,25573.333333333332,25490.50747963678,26917.297810244007,26525.45760151053
2021-12-28 09:00:00,25249.666666666668,25490.507479626096,26136.784046533827,25784.839664232128
2021-12-28 10:00:00,24805.583333333332,25490.507479528365,25248.22664223166,24865.963050732476
2021-12-28 11:00:00,24597.25,25490.507479367687,24563.454217004477,24191.931697286436
2021-12-28 12:00:00,24466.583333333332,25490.507479170483,24260.297625217692,23908.885012527066
2021-12-28 13:00:00,24687.583333333332,25490.507478962478,24409.273477489543,24084.578771370358
2021-12-28 14:00:00,25253.166666666668,25490.507478766245,24960.48345507841,24611.195513265655
2021-12-28 15:00:00,26073.916666666668,25490.507478599466,26001.463174088578,25588.12917089988
2021-12-28 16:00:00,27352.0,25490.507478473963,27726.447703869373,27187.06852164432
2021-12-28 17:00:00,29438.666666666668,25490.50747839549,29932.746139618033,29367.72034740171
